 written on  6Jan2020 at 00:07:08 
          36
          21
    4    2    4    4    2    4    4    2    4    2    1    2    4    2    4
    4    2    4    4    2    4
   -1   -1   -1   33    6    0.003072    0.000065
   -1   -1   -1   34    6    0.000298   -0.000010
   -1   -1   -1   35    6    0.005224   -0.000171
   -1   -1   -1   36    6    0.001273    0.000225
   -1   -1   -1    1    7   -0.000008    0.000009
   -1   -1   -1    2    7    0.000096    0.000021
   -1   -1   -1    3    7    0.000706   -0.000023
   -1   -1   -1    4    7   -0.000042    0.000026
   -1   -1   -1    5    7   -0.001011    0.000098
   -1   -1   -1    6    7   -0.000234   -0.000124
   -1   -1   -1    7    7   -0.000158   -0.000000
   -1   -1   -1    8    7   -0.000157    0.000047
   -1   -1   -1    9    7    0.003805    0.000004
   -1   -1   -1   10    7   -0.000192   -0.000333
   -1   -1   -1   11    7    0.000038   -0.000058
   -1   -1   -1   12    7    0.000620    0.000024
   -1   -1   -1   13    7   -0.000898    0.000028
   -1   -1   -1   14    7    0.000306   -0.000010
   -1   -1   -1   15    7    0.000040   -0.000014
   -1   -1   -1   16    7   -0.000870   -0.000005
   -1   -1   -1   17    7   -0.000049   -0.000320
   -1   -1   -1   18    7    0.000713   -0.000326
   -1   -1   -1   19    7    0.000339    0.000405
   -1   -1   -1   20    7    0.000515    0.000336
   -1   -1   -1   21    7    0.000069   -0.000132
   -1   -1   -1   22    7    0.000254   -0.000002
   -1   -1   -1   23    7   -0.000194   -0.000387
   -1   -1   -1   24    7   -0.000546    0.000005
   -1   -1   -1   25    7   -0.000309   -0.000346
   -1   -1   -1   26    7    0.000019    0.000034
   -1   -1   -1   27    7    0.001156   -0.000024
   -1   -1   -1   28    7   -0.000206   -0.000049
   -1   -1   -1   29    7   -0.000010    0.000159
   -1   -1   -1   30    7    0.000030   -0.000032
   -1   -1   -1   31    7    0.001759    0.000001
   -1   -1   -1   32    7   -0.000081    0.000026
   -1   -1   -1   33    7   -0.013967    0.000030
   -1   -1   -1   34    7   -0.013607    0.000160
   -1   -1   -1   35    7    0.000084    0.000020
   -1   -1   -1   36    7   -0.003497   -0.000012
   -1   -1   -1    1    8    0.000065    0.000080
   -1   -1   -1    2    8    0.000144   -0.000017
   -1   -1   -1    3    8   -0.000082    0.000019
   -1   -1   -1    4    8    0.001061   -0.000048
   -1   -1   -1    5    8    0.000648    0.000100
   -1   -1   -1    6    8    0.000398   -0.000152
   -1   -1   -1    7    8   -0.000157   -0.000047
   -1   -1   -1    8    8   -0.000142    0.000000
   -1   -1   -1    9    8    0.001680   -0.000051
   -1   -1   -1   10    8    0.000303   -0.000169
   -1   -1   -1   11    8    0.000335    0.000027
   -1   -1   -1   12    8   -0.000550   -0.000012
   -1   -1   -1   13    8    0.000300    0.000010
   -1   -1   -1   14    8   -0.000111   -0.000029
   -1   -1   -1   15    8   -0.000912    0.000000
   -1   -1   -1   16    8   -0.001209    0.000055
   -1   -1   -1   17    8    0.000185    0.000928
   -1   -1   -1   18    8    0.000846    0.000797
   -1   -1   -1   19    8    0.000921   -0.000152
   -1   -1   -1   20    8   -0.001085    0.000693
   -1   -1   -1   21    8    0.000311    0.000279
   -1   -1   -1   22    8    0.000062   -0.000208
   -1   -1   -1   23    8   -0.000289   -0.000106
   -1   -1   -1   24    8    0.000836   -0.000838
   -1   -1   -1   25    8   -0.000036   -0.000251
   -1   -1   -1   26    8    0.000093   -0.000065
   -1   -1   -1   27    8   -0.000189   -0.000050
   -1   -1   -1   28    8    0.001073   -0.000015
   -1   -1   -1   29    8    0.000055    0.000204
   -1   -1   -1   30    8   -0.000172    0.000030
   -1   -1   -1   31    8   -0.000171    0.000038
   -1   -1   -1   32    8    0.001313    0.000066
   -1   -1   -1   33    8    0.005521    0.000063
   -1   -1   -1   34    8    0.006953    0.000448
   -1   -1   -1   35    8   -0.001300   -0.000084
   -1   -1   -1   36    8   -0.002812   -0.000057
   -1   -1   -1    1    9   -0.039567    0.000232
   -1   -1   -1    2    9   -0.000980    0.000067
   -1   -1   -1    3    9    0.004397   -0.000013
   -1   -1   -1    4    9   -0.039905   -0.000359
   -1   -1   -1    5    9   -0.006713   -0.000256
   -1   -1   -1    6    9    0.000775   -0.000164
   -1   -1   -1    7    9    0.003805   -0.000004
   -1   -1   -1    8    9    0.001680    0.000051
   -1   -1   -1    9    9   -0.001555    0.000000
   -1   -1   -1   10    9   -0.000107    0.000035
   -1   -1   -1   11    9   -0.001316   -0.000094
   -1   -1   -1   12    9    0.000489   -0.000216
   -1   -1   -1   13    9   -0.015849   -0.000399
   -1   -1   -1   14    9   -0.015436   -0.000484
   -1   -1   -1   15    9    0.015328   -0.000219
   -1   -1   -1   16    9    0.011938    0.000127
   -1   -1   -1   17    9    0.002174   -0.000187
   -1   -1   -1   18    9   -0.002529    0.000216
   -1   -1   -1   19    9   -0.007114    0.000146
   -1   -1   -1   20    9    0.004389   -0.000164
   -1   -1   -1   21    9   -0.003287   -0.000064
   -1   -1   -1   22    9   -0.000783    0.000168
   -1   -1   -1   23    9   -0.005566    0.000031
   -1   -1   -1   24    9    0.003122    0.000354
   -1   -1   -1   25    9   -0.000342    0.000736
   -1   -1   -1   26    9   -0.001485   -0.000233
   -1   -1   -1   27    9    0.000104    0.000190
   -1   -1   -1   28    9   -0.002123    0.000084
   -1   -1   -1   29    9    0.000230    0.000583
   -1   -1   -1   30    9   -0.001195   -0.000297
   -1   -1   -1   31    9    0.000092   -0.000257
   -1   -1   -1   32    9   -0.001862   -0.000101
   -1   -1   -1   33    9   -0.001317   -0.000113
   -1   -1   -1   34    9    0.000491    0.000063
   -1   -1   -1   35    9    0.005474   -0.000061
   -1   -1   -1   36    9    0.003486   -0.000066
   -1   -1   -1    1   10    0.003368   -0.000734
   -1   -1   -1    2   10    0.001476    0.005919
   -1   -1   -1    3   10    0.002012   -0.002306
   -1   -1   -1    4   10   -0.000476   -0.004474
   -1   -1   -1    5   10   -0.000481    0.000827
   -1   -1   -1    6   10    0.000012    0.000090
   -1   -1   -1    7   10   -0.000192    0.000333
   -1   -1   -1    8   10    0.000303    0.000169
   -1   -1   -1    9   10   -0.000107   -0.000035
   -1   -1   -1   10   10    0.000059   -0.000000
   -1   -1   -1   11   10    0.000005    0.000016
   -1   -1   -1   12   10    0.000139    0.000005
   -1   -1   -1   13   10   -0.004704   -0.000236
   -1   -1   -1   14   10   -0.001603    0.001291
   -1   -1   -1   15   10   -0.000309    0.002835
   -1   -1   -1   16   10    0.004299    0.002782
   -1   -1   -1   17   10    0.000155    0.000344
   -1   -1   -1   18   10   -0.000331   -0.000596
   -1   -1   -1   19   10   -0.000275   -0.000518
   -1   -1   -1   20   10    0.000780   -0.000271
   -1   -1   -1   21   10   -0.000167   -0.000239
   -1   -1   -1   22   10   -0.000176   -0.000383
   -1   -1   -1   23   10    0.000337   -0.000680
   -1   -1   -1   24   10    0.000134   -0.000032
   -1   -1   -1   25   10   -0.000362   -0.000049
   -1   -1   -1   26   10    0.000070    0.000034
   -1   -1   -1   27   10   -0.000062   -0.000513
   -1   -1   -1   28   10   -0.000026   -0.000131
   -1   -1   -1   29   10    0.000268    0.000294
   -1   -1   -1   30   10   -0.000107    0.000103
   -1   -1   -1   31   10    0.000352    0.000229
   -1   -1   -1   32   10   -0.000132    0.000224
   -1   -1   -1   33   10   -0.000142   -0.000325
   -1   -1   -1   34   10   -0.000378   -0.000147
   -1   -1   -1   35   10    0.000267   -0.000460
   -1   -1   -1   36   10   -0.000285   -0.000299
   -1   -1   -1    1   11    0.003000   -0.000908
   -1   -1   -1    2   11   -0.003193    0.000383
   -1   -1   -1    3   11   -0.003467    0.000825
   -1   -1   -1    4   11   -0.000714    0.000070
   -1   -1   -1    5   11    0.004268   -0.000037
   -1   -1   -1    6   11    0.000434    0.000002
   -1   -1   -1    7   11    0.000038    0.000058
   -1   -1   -1    8   11    0.000335   -0.000027
   -1   -1   -1    9   11   -0.001316    0.000094
   -1   -1   -1   10   11    0.000005   -0.000016
   -1   -1   -1   11   11   -0.000363   -0.000000
   -1   -1   -1   12   11   -0.000233   -0.000178
   -1   -1   -1   13   11    0.000100   -0.000616
   -1   -1   -1   14   11    0.013474    0.000034
   -1   -1   -1   15   11    0.000746    0.000169
   -1   -1   -1   16   11    0.002307   -0.000309
   -1   -1   -1   17   11    0.000918    0.000030
   -1   -1   -1   18   11    0.000198    0.000013
   -1   -1   -1   19   11   -0.000088   -0.000067
   -1   -1   -1   20   11   -0.000741    0.000143
   -1   -1   -1   21   11   -0.001013   -0.000018
   -1   -1   -1   22   11    0.000347    0.000002
   -1   -1   -1   23   11   -0.000133   -0.000195
   -1   -1   -1   24   11   -0.001072   -0.000038
   -1   -1   -1   25   11    0.000212    0.000710
   -1   -1   -1   26   11   -0.000184    0.000231
   -1   -1   -1   27   11   -0.000301    0.000010
   -1   -1   -1   28   11    0.000129   -0.000478
   -1   -1   -1   29   11   -0.000346   -0.000806
   -1   -1   -1   30   11   -0.000426    0.000121
   -1   -1   -1   31   11   -0.000322   -0.000027
   -1   -1   -1   32   11   -0.000253    0.000287
   -1   -1   -1   33   11    0.001418    0.000080
   -1   -1   -1   34   11    0.000987   -0.000020
   -1   -1   -1   35   11    0.000157    0.000139
   -1   -1   -1   36   11    0.000873    0.000044
   -1   -1   -1    1   12    0.001994   -0.000160
   -1   -1   -1    2   12   -0.000546    0.000158
   -1   -1   -1    3   12    0.001614    0.000154
   -1   -1   -1    4   12    0.003399    0.000126
   -1   -1   -1    5   12    0.002272   -0.000045
   -1   -1   -1    6   12   -0.000304   -0.000061
   -1   -1   -1    7   12    0.000620   -0.000024
   -1   -1   -1    8   12   -0.000550    0.000012
   -1   -1   -1    9   12    0.000489    0.000216
   -1   -1   -1   10   12    0.000139   -0.000005
   -1   -1   -1   11   12   -0.000233    0.000178
   -1   -1   -1   12   12   -0.000196   -0.000000
   -1   -1   -1   13   12   -0.000851   -0.000492
   -1   -1   -1   14   12    0.006787   -0.000321
   -1   -1   -1   15   12    0.002364   -0.000101
   -1   -1   -1   16   12   -0.003275   -0.000001
   -1   -1   -1   17   12   -0.000252    0.000032
   -1   -1   -1   18   12   -0.000201    0.000074
   -1   -1   -1   19   12   -0.000639    0.000017
   -1   -1   -1   20   12   -0.000961    0.000010
   -1   -1   -1   21   12    0.000666    0.000056
   -1   -1   -1   22   12   -0.000198    0.000021
   -1   -1   -1   23   12   -0.000978    0.000058
   -1   -1   -1   24   12   -0.000929    0.000046
   -1   -1   -1   25   12   -0.000005    0.000031
   -1   -1   -1   26   12   -0.000933    0.000108
   -1   -1   -1   27   12    0.000109   -0.000117
   -1   -1   -1   28   12    0.000158   -0.000290
   -1   -1   -1   29   12    0.000699    0.000125
   -1   -1   -1   30   12   -0.000751    0.000278
   -1   -1   -1   31   12    0.000053   -0.000054
   -1   -1   -1   32   12    0.000087    0.000142
   -1   -1   -1   33   12    0.000653   -0.000026
   -1   -1   -1   34   12    0.000430   -0.000015
   -1   -1   -1   35   12    0.000868   -0.000042
   -1   -1   -1   36   12   -0.000957   -0.000014
   -1   -1   -1    1   13   -0.000561    0.000101
   -1   -1   -1    2   13   -0.002282    0.000161
   -1   -1   -1    3   13   -0.000164    0.001804
   -1   -1   -1    4   13   -0.000219   -0.000035
   -1   -1   -1    5   13   -0.002213    0.000024
   -1   -1   -1    6   13   -0.000041    0.000438
   -1   -1   -1    7   13   -0.000898   -0.000028
   -1   -1   -1    8   13    0.000300   -0.000010
   -1   -1   -1    9   13   -0.015849    0.000399
   -1   -1   -1   10   13   -0.004704    0.000236
   -1   -1   -1   11   13    0.000100    0.000616
   -1   -1   -1   12   13   -0.000851    0.000492
   -1   -1   -1   13   13    0.000930   -0.000000
   -1   -1   -1   14   13   -0.000740   -0.002880
   -1   -1   -1   15   13   -0.004050   -0.000141
   -1   -1   -1   16   13    0.002845   -0.002361
   -1   -1   -1   17   13   -0.000401    0.000007
   -1   -1   -1   18   13    0.000290    0.000103
   -1   -1   -1   19   13    0.001207   -0.000018
   -1   -1   -1   20   13    0.000894    0.000082
   -1   -1   -1   21   13    0.000049   -0.000030
