 written on 10Jan2020 at 02:22:22 
          22
          21
    4    2    4    4    2    4    4    2    4    2    1    2    4    2    4
    4    2    4    4    2    4
   -1   -1   -1   12   16    0.007612    0.013999
   -1   -1   -1   13   16    0.005062    0.003425
   -1   -1   -1   14   16   -0.015158   -0.003865
   -1   -1   -1   15   16    0.028277    0.000450
   -1   -1   -1   16   16   -0.017608   -0.000000
   -1   -1   -1   17   16   -0.003248    0.020564
   -1   -1   -1   18   16    0.000400   -0.015048
   -1   -1   -1   19   16    0.020687   -0.002348
   -1   -1   -1   20   16    0.005435   -0.005827
   -1   -1   -1   21   16    0.003967    0.014477
   -1   -1   -1   22   16   -0.019088    0.013210
   -1   -1   -1    1   17    0.002686    0.000972
   -1   -1   -1    2   17    0.035348    0.033787
   -1   -1   -1    3   17    0.003934    0.021201
   -1   -1   -1    4   17   -0.002540   -0.006563
   -1   -1   -1    5   17    0.003213   -0.005131
   -1   -1   -1    6   17   -0.002024    0.003690
   -1   -1   -1    7   17    0.012222   -0.029389
   -1   -1   -1    8   17    0.008580    0.002864
   -1   -1   -1    9   17   -0.007177   -0.007595
   -1   -1   -1   10   17   -0.001539   -0.003673
   -1   -1   -1   11   17    0.027053    0.014269
   -1   -1   -1   12   17   -0.003188    0.001950
   -1   -1   -1   13   17   -0.007052   -0.000705
   -1   -1   -1   14   17   -0.003270   -0.005348
   -1   -1   -1   15   17    0.040368    0.008136
   -1   -1   -1   16   17   -0.003248   -0.020564
   -1   -1   -1   17   17    0.013716   -0.000000
   -1   -1   -1   18   17   -0.019955    0.019446
   -1   -1   -1   19   17    0.001657   -0.011780
   -1   -1   -1   20   17    0.009264    0.004835
   -1   -1   -1   21   17    0.003295   -0.002993
   -1   -1   -1   22   17   -0.009144   -0.006542
   -1   -1   -1    1   18   -0.001028    0.007521
   -1   -1   -1    2   18   -0.008831    0.113865
   -1   -1   -1    3   18   -0.014030   -0.104829
   -1   -1   -1    4   18   -0.011046    0.006813
   -1   -1   -1    5   18    0.002772   -0.018570
   -1   -1   -1    6   18   -0.001256   -0.006242
   -1   -1   -1    7   18   -0.014121    0.083914
